"Designator","Mid X","Mid Y","Layer","Rotation"
"B0-C1","26.500000","11","Top","0.000000"
"B0-R1","19.000000","11","Top","0.000000"
"B0-R2","19.000000","19","Top","0.000000"
"B0-U1","23.000000","15","Top","0.000000"
"B1-C1","48.500000","11","Top","0.000000"
"B1-R1","41.000000","11","Top","0.000000"
"B1-R2","41.000000","19","Top","0.000000"
"B1-U1","45.000000","15","Top","0.000000"
"B2-C1","26.500000","25","Top","0.000000"
"B2-R1","19.000000","25","Top","0.000000"
"B2-R2","19.000000","33","Top","0.000000"
"B2-U1","23.000000","29","Top","0.000000"
"B3-C1","48.500000","25","Top","0.000000"
"B3-R1","41.000000","25","Top","0.000000"
"B3-R2","41.000000","33","Top","0.000000"
"B3-U1","45.000000","29","Top","0.000000"
