Ref,Val,Package,PosX,PosY,Rot,Side
"B0-C1","100nF","C_0603",26.500000,-11.000000,0.000000,top
"B0-J1","RPi_GPIO_1-6","RPi_2x03_Female_Bottom",12.000000,-12.500000,0.000000,top
"B0-R1","12k","R_0603",19.000000,-11.000000,0.000000,top
"B0-R2","12k","R_0603",19.000000,-19.000000,0.000000,top
"B0-TP1","3V3","TestPoint",16.000000,-10.200000,0.000000,top
"B0-TP2","SDA","TestPoint",20.500000,-12.500000,0.000000,top
"B0-TP3","SCL","TestPoint",20.500000,-17.500000,0.000000,top
"B0-TP4","GND","TestPoint",14.000000,-19.800000,0.000000,top
"B0-U1","MFI343S00177-L","MFI343S00177_XDFN8_2x3mm_P0.5",23.000000,-15.000000,0.000000,top
"B1-C1","100nF","C_0603",48.500000,-11.000000,0.000000,top
"B1-J1","RPi_GPIO_1-6","RPi_2x03_Female_Bottom",34.000000,-12.500000,0.000000,top
"B1-R1","12k","R_0603",41.000000,-11.000000,0.000000,top
"B1-R2","12k","R_0603",41.000000,-19.000000,0.000000,top
"B1-TP1","3V3","TestPoint",38.000000,-10.200000,0.000000,top
"B1-TP2","SDA","TestPoint",42.500000,-12.500000,0.000000,top
"B1-TP3","SCL","TestPoint",42.500000,-17.500000,0.000000,top
"B1-TP4","GND","TestPoint",36.000000,-19.800000,0.000000,top
"B1-U1","MFI343S00177-L","MFI343S00177_XDFN8_2x3mm_P0.5",45.000000,-15.000000,0.000000,top
"B2-C1","100nF","C_0603",26.500000,-25.000000,0.000000,top
"B2-J1","RPi_GPIO_1-6","RPi_2x03_Female_Bottom",12.000000,-26.500000,0.000000,top
"B2-R1","12k","R_0603",19.000000,-25.000000,0.000000,top
"B2-R2","12k","R_0603",19.000000,-33.000000,0.000000,top
"B2-TP1","3V3","TestPoint",16.000000,-24.200000,0.000000,top
"B2-TP2","SDA","TestPoint",20.500000,-26.500000,0.000000,top
"B2-TP3","SCL","TestPoint",20.500000,-31.500000,0.000000,top
"B2-TP4","GND","TestPoint",14.000000,-33.800000,0.000000,top
"B2-U1","MFI343S00177-L","MFI343S00177_XDFN8_2x3mm_P0.5",23.000000,-29.000000,0.000000,top
"B3-C1","100nF","C_0603",48.500000,-25.000000,0.000000,top
"B3-J1","RPi_GPIO_1-6","RPi_2x03_Female_Bottom",34.000000,-26.500000,0.000000,top
"B3-R1","12k","R_0603",41.000000,-25.000000,0.000000,top
"B3-R2","12k","R_0603",41.000000,-33.000000,0.000000,top
"B3-TP1","3V3","TestPoint",38.000000,-24.200000,0.000000,top
"B3-TP2","SDA","TestPoint",42.500000,-26.500000,0.000000,top
"B3-TP3","SCL","TestPoint",42.500000,-31.500000,0.000000,top
"B3-TP4","GND","TestPoint",36.000000,-33.800000,0.000000,top
"B3-U1","MFI343S00177-L","MFI343S00177_XDFN8_2x3mm_P0.5",45.000000,-29.000000,0.000000,top
"KiKit_FID_T_1","Fiducial","Fiducial",6.000000,-3.500000,0.000000,top
"KiKit_FID_T_2","Fiducial","Fiducial",54.000000,-3.500000,0.000000,top
"KiKit_FID_T_3","Fiducial","Fiducial",6.000000,-40.500000,0.000000,top
"KiKit_FID_T_4","Fiducial","Fiducial",54.000000,-40.500000,0.000000,top
"KiKit_TO_1","NPTH","NPTH",3.500000,-3.500000,0.000000,top
"KiKit_TO_2","NPTH","NPTH",56.500000,-3.500000,0.000000,top
"KiKit_TO_3","NPTH","NPTH",3.500000,-40.500000,0.000000,top
